Building_ID,Building_Name,Latitude,Longitude,Building RSU,RFS_Status,Location Type,Total HPs,Total Spare,Actual Util Count,Util %,Final Tagging
200966_1,A2 Type_2AB,19.07829732,73.01499564,A2 Type Lane No-05_2AB,RFS,Flatbed,128,127,1,1%,P1
200966_2,A2 Type_2AB,19.07828779,73.015112,A2 Type Lane No-06_2AB,RFS,Flatbed,112,109,3,3%,P1
200966_1,A2 Type_2AB,19.07829732,73.01499564,A2 Type Lane No-07_2AB,RFS,Flatbed,128,125,3,2%,P1
200966_2,A2 Type_2AB,19.07828779,73.015112,A2 Type Lane No-08_2AB,RFS,Flatbed,128,124,4,3%,P1
200966_1,A2 Type_2AB,19.07829732,73.01499564,A2 Type Lane No-09_2AB,RFS,Flatbed,128,121,7,5%,P1
200966_2,A2 Type_2AB,19.07828779,73.015112,A2 Type Lane No-10_2AB,RFS,Flatbed,128,122,6,5%,P1
38166,Saraf Chaudhary Nagar_KNS,19.20906928,72.86328978,A2 Wing Saraf Chaudhary Nagar_KNS,RFS,High-rise,40,35,5,13%,Rest
192735,Riddhi Garden_2RW,19.17730339,72.87243245,"A-2, Riddhi Gardens_2RW",RFS,High-rise,32,23,9,28%,Rest
197083,Happy Valley_THJ,19.23822718,72.97082045,A25 Happy Valley_THJ,RFS,High-rise,8,4,4,50%,Rest
197394,Empress Park_UWT,19.26801579,72.9709424,"A2-Ambrosia,Empress Park_UWT",RFS,High-rise,64,47,17,27%,Rest
197395,Empress Park_UWT,19.26823132,72.97100402,"A3-Aster,Empress Park_UWT",RFS,High-rise,64,39,25,39%,Rest
16645,Jay Vidyadani Cooperative Housing Society A4_2LW,19.10586569,72.86798127,A4 Jay Vidyadani Cooperative Housing Society A-Wing_2LW,RFS,High-rise,24,10,14,58%,Rest
16645,Jay Vidyadani Cooperative Housing Society A4_2LW,19.10586569,72.86798127,A4 Jay Vidyadani Cooperative Housing Society B-Wing_2LW,RFS,High-rise,24,15,9,38%,Rest
16645,Jay Vidyadani Cooperative Housing Society A4_2LW,19.10586569,72.86798127,A4 Jay Vidyadani Cooperative Housing Society C-Wing_2LW,RFS,GHS,8,5,3,38%,Rest
10365,Jhelam CHSL_2AS,19.22363104,72.97040908,A-5 Jhelam CHSL_2AS,RFS,High-rise,16,11,5,31%,Rest
4025,Saraf Chaudhary Nagar_KNS,19.20925184,72.86446545,A5 Saraf Chaudhary Nagar_KNS,RFS,High-rise,24,17,7,29%,Rest
10364,Jhelam CHSL_2AS,19.22354744,72.97060706,A-6 Jhelam CHSL_2AS,RFS,High-rise,16,13,3,19%,Rest
4025,Saraf Chaudhary Nagar_KNS,19.20925184,72.86446545,A6 Saraf Chaudhary Nagar_KNS,RFS,High-rise,24,18,6,25%,Rest
